Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Degradation in Accuracy Difference,Degradation in Accuracy Ratio
1,3,Vertical_Distance_To_Hydrology,0.4384,1.5,0.32887014746153787,1.0623646809424168,-0.020509881817924347,0.0232,0.949740034662045
1,3,Vertical_Distance_To_Hydrology,0.4376,2.0,0.32887014746153787,1.0778780651289426,-0.025611770762974606,0.02400000000000002,0.9480069324090121
1,3,Vertical_Distance_To_Hydrology,0.4352,2.5,0.32887014746153787,1.0944881075014616,-0.031074317847367305,0.026400000000000035,0.9428076256499133
1,3,Vertical_Distance_To_Hydrology,0.4264,3.0,0.32887014746153787,1.0813022215647639,-0.026737873594954498,0.03520000000000001,0.9237435008665511
1,3,Vertical_Distance_To_Hydrology,0.4312,3.5,0.32887014746153787,1.0806996634912025,-0.026539710232448277,0.030399999999999983,0.9341421143847487
1,3,Vertical_Distance_To_Hydrology,0.4384,4.0,0.32887014746153787,1.076241906865111,-0.025073687153477908,0.0232,0.949740034662045
1,3,"noise, std dev 0.5",0.448,0.125,0.37287374403785084,0.9882338388659515,0.004387292555005307,0.013600000000000001,0.9705372616984402
1,3,"noise, std dev 0.5",0.4704,0.25,0.37287374403785084,1.002957612153509,-0.001102815917090827,-0.008799999999999975,1.019064124783362
1,3,"noise, std dev 0.5",0.4576,0.5,0.37287374403785084,0.9722620539878843,0.010342751781457327,0.0040000000000000036,0.9913344887348353
1,3,"noise, std dev 0.5",0.4576,0.75,0.37287374403785084,1.0276579824957073,-0.01031293548570772,0.0040000000000000036,0.9913344887348353
1,3,"noise, std dev 0.5",0.444,1.0,0.37287374403785084,1.007184003795926,-0.0026787263925691085,0.017600000000000005,0.9618717504332756
1,3,"noise, std dev 0.5",0.464,1.5,0.37287374403785084,0.9805930161181493,0.007236354740507878,-0.0024000000000000132,1.0051993067590987
1,3,"noise, std dev 0.5",0.4304,2.0,0.37287374403785084,0.9761080318804553,0.008908687605167609,0.031200000000000006,0.9324090121317158
1,3,"noise, std dev 0.5",0.4632,2.5,0.37287374403785084,0.9500324761072416,0.018631577714193603,-0.0015999999999999903,1.0034662045060658
1,3,"noise, std dev 0.5",0.4672,3.0,0.37287374403785084,0.9746385878745014,0.009456604693321602,-0.005599999999999994,1.0121317157712304
1,3,"noise, std dev 0.5",0.4496,3.5,0.37287374403785084,1.0091112352452134,-0.0033973403986923834,0.01200000000000001,0.9740034662045061
1,3,"noise, std dev 0.5",0.4672,4.0,0.37287374403785084,0.9847649789194467,0.005680739350801489,-0.005599999999999994,1.0121317157712304
1,3,Hillshade_Noon,0.4608,0.125,0.2982561085006113,1.224848781218604,-0.06706252248736616,0.0008000000000000229,0.998266897746967
1,3,Hillshade_Noon,0.4528,0.25,0.2982561085006113,1.2235821540271443,-0.06668474319032036,0.00880000000000003,0.9809358752166377
1,3,Hillshade_Noon,0.4456,0.5,0.2982561085006113,1.1699225660816062,-0.050680443305937795,0.016000000000000014,0.9653379549393414
1,3,Hillshade_Noon,0.4472,0.75,0.2982561085006113,1.190555711719837,-0.056834405030122936,0.014400000000000024,0.9688041594454072
1,3,Hillshade_Noon,0.4464,1.0,0.2982561085006113,1.1665709604010503,-0.049680806438426706,0.015199999999999991,0.9670710571923744
1,3,Hillshade_Noon,0.4312,1.5,0.2982561085006113,1.1757118325680052,-0.05240712739924419,0.030399999999999983,0.9341421143847487
1,3,Hillshade_Noon,0.4552,2.0,0.2982561085006113,1.1640611892781558,-0.048932251870084986,0.006400000000000017,0.9861351819757366
