Trial Number/Type,Label Noise Prob,Accuracy,Flip Count
3,0.49,0.6184,1819.0
4,0.49,0.6384,1805.0
Average,0.49,0.6327999999999999,1842.4
0,0.5,0.6472,1878.0
1,0.5,0.6416,1905.0
2,0.5,0.5984,1914.0
3,0.5,0.62,1860.0
4,0.5,0.6488,1845.0
Average,0.5,0.6312,1880.4
0,0.51,0.6552,1912.0
1,0.51,0.6344,1943.0
2,0.51,0.5952,1957.0
3,0.51,0.616,1890.0
4,0.51,0.6368,1878.0
Average,0.51,0.62752,1916.0
0,0.52,0.6416,1945.0
1,0.52,0.6288,1985.0
2,0.52,0.5872,1994.0
3,0.52,0.6072,1940.0
4,0.52,0.644,1914.0
Average,0.52,0.6217600000000001,1955.6
0,0.53,0.6448,1989.0
1,0.53,0.6296,2013.0
2,0.53,0.5992,2023.0
3,0.53,0.6056,1983.0
4,0.53,0.6272,1951.0
Average,0.53,0.6212799999999999,1991.8
0,0.54,0.6288,2023.0
1,0.54,0.616,2049.0
2,0.54,0.5648,2063.0
3,0.54,0.5904,2018.0
4,0.54,0.6064,1990.0
Average,0.54,0.60128,2028.6
0,0.55,0.6,2065.0
1,0.55,0.5992,2087.0
2,0.55,0.5648,2095.0
3,0.55,0.5784,2057.0
4,0.55,0.6088,2035.0
Average,0.55,0.5902399999999999,2067.8
0,0.56,0.6056,2105.0
1,0.56,0.6016,2117.0
2,0.56,0.5792,2132.0
3,0.56,0.5856,2097.0
4,0.56,0.596,2078.0
Average,0.56,0.5936,2105.8
0,0.5700000000000001,0.5792,2155.0
1,0.5700000000000001,0.5872,2149.0
2,0.5700000000000001,0.5568,2161.0
3,0.5700000000000001,0.5704,2134.0
4,0.5700000000000001,0.592,2120.0
Average,0.5700000000000001,0.5771200000000001,2143.8
0,0.58,0.5776,2201.0
1,0.58,0.5936,2186.0
2,0.58,0.5256,2203.0
3,0.58,0.5712,2169.0
4,0.58,0.5776,2155.0
Average,0.58,0.5691200000000001,2182.8
0,0.59,0.5648,2236.0
1,0.59,0.584,2212.0
2,0.59,0.5136,2259.0
3,0.59,0.556,2208.0
4,0.59,0.5752,2203.0
Average,0.59,0.55872,2223.6
0,0.6,0.568,2265.0
1,0.6,0.5552,2247.0
2,0.6,0.5,2295.0
3,0.6,0.5376,2243.0
4,0.6,0.5632,2232.0
Average,0.6,0.5448000000000001,2256.4
0,0.61,0.5472,2295.0
1,0.61,0.5528,2281.0
2,0.61,0.5008,2326.0
3,0.61,0.5232,2289.0
4,0.61,0.5488,2270.0
Average,0.61,0.53456,2292.2
0,0.62,0.5384,2331.0
1,0.62,0.5496,2320.0
2,0.62,0.4824,2355.0
3,0.62,0.516,2337.0
4,0.62,0.5256,2313.0
Average,0.62,0.5224,2331.2
0,0.63,0.4992,2360.0
1,0.63,0.508,2365.0
2,0.63,0.4848,2398.0
3,0.63,0.4904,2388.0
