Batch Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Initial Perm Importance Mean,Initial Perm Importance Std Dev,RF Feature Importance,Importance Ratio,Importance Difference,Accuracy Ratio
1,5,Higher Variance Minority 3,0.94528,2.0,0.02470399999999998,0.0032025589768183774,0.31358282424978606,0.25711095318508104,0.23295724540445384,0.9879598662207358
1,5,Constant,0.9577600000000001,0.25,0.0,0.0,0.0,Infinity,-0.0148418130966604,1.0010033444816053
1,5,Constant,0.9577600000000001,0.5,0.0,0.0,0.0,Infinity,-0.0148418130966604,1.0010033444816053
1,5,Constant,0.9577600000000001,1.0,0.0,0.0,0.0,Infinity,-0.0148418130966604,1.0010033444816053
1,5,Constant,0.9577600000000001,2.0,0.0,0.0,0.0,Infinity,-0.0148418130966604,1.0010033444816053
1,5,Higher Variance Majority 3,0.9568000000000001,0.25,0.012543999999999998,0.0037640488838483494,0.05977718486887139,1.1021460691640284,-0.006106004460046652,1.0000000000000002
1,5,Higher Variance Majority 3,0.95504,0.5,0.012543999999999998,0.0037640488838483494,0.05977718486887139,0.7360352691894874,0.015779068512521886,0.9981605351170568
1,5,Higher Variance Majority 3,0.95408,1.0,0.012543999999999998,0.0037640488838483494,0.05977718486887139,0.5047966778711783,0.02960186053457384,0.9971571906354516
1,5,Higher Variance Majority 3,0.95344,2.0,0.012543999999999998,0.0037640488838483494,0.05977718486887139,0.45344898858330446,0.03267128084972445,0.9964882943143812
Baseline,5,N/A,0.9664,0.0,0.0,0.0,1.0,0,0.0,1.0
2,5,Higher Variance Minority 1,0.9688000000000001,0.25,0.04416000000000002,0.0048,0.4470611078220285,0.6305931547522444,0.16514743347350225,1.0024834437086094
2,5,Higher Variance Minority 1,0.96688,0.5,0.04416000000000002,0.0048,0.4470611078220285,0.5469708222705998,0.2025317260714083,1.0004966887417217
2,5,Higher Variance Minority 1,0.96288,1.0,0.04416000000000002,0.0048,0.4470611078220285,0.35133552495139947,0.2899926588200219,0.9963576158940397
2,5,Higher Variance Minority 1,0.95648,2.0,0.04416000000000002,0.0048,0.4470611078220285,0.1119267340914306,0.3970230180842119,0.9897350993377483
2,5,Higher Variance Minority 2,0.97072,0.25,0.05808000000000003,0.004319999999999998,0.4181022495069243,1.2413085014532743,-0.10089162728275891,1.0044701986754967
2,5,Higher Variance Minority 2,0.96832,0.5,0.05808000000000003,0.004319999999999998,0.4181022495069243,1.1375871568620946,-0.05752549978730376,1.0019867549668873
2,5,Higher Variance Minority 2,0.9631999999999998,1.0,0.05808000000000003,0.004319999999999998,0.4181022495069243,0.7303864201174403,0.11272604424651306,0.9966887417218541
2,5,Higher Variance Minority 2,0.95328,2.0,0.05808000000000003,0.004319999999999998,0.4181022495069243,0.25491747629548384,0.3115206792291545,0.9864238410596027
2,5,Higher Variance Majority 2,0.9700799999999999,0.25,0.011072000000000035,0.0038776817816834805,0.08798382580447275,1.0158954623349443,-0.0013985435891593068,1.0038079470198675
2,5,Higher Variance Majority 2,0.9671999999999998,0.5,0.011072000000000035,0.0038776817816834805,0.08798382580447275,0.5979547423150425,0.035373479917667656,1.0008278145695362
2,5,Higher Variance Majority 2,0.9652800000000001,1.0,0.011072000000000035,0.0038776817816834805,0.08798382580447275,0.36776144488651324,0.05562676689997657,0.9988410596026491
2,5,Higher Variance Majority 2,0.9620799999999999,2.0,0.011072000000000035,0.0038776817816834805,0.08798382580447275,0.20285130276308827,0.07013619211795483,0.9955298013245032
2,5,Equal Variance (High),0.97104,0.25,-0.0001279999999999948,0.0004340691189199994,0.03390880155767416,1.2836524648993255,-0.009618315143616364,1.0048013245033112
2,5,Equal Variance (High),0.9712000000000002,0.5,-0.0001279999999999948,0.0004340691189199994,0.03390880155767416,1.041233055375248,-0.0013981634923358743,1.0049668874172186
2,5,Equal Variance (High),0.9699200000000001,1.0,-0.0001279999999999948,0.0004340691189199994,0.03390880155767416,0.7444761764196842,0.00866450662704307,1.0036423841059603
2,5,Equal Variance (High),0.97072,2.0,-0.0001279999999999948,0.0004340691189199994,0.03390880155767416,0.40323673282152206,0.020235527203664293,1.0044701986754967
